"WOCHENTAG;""DATUM"";""VON"";""BIS"";""DAUER_IN_MINUTEN"";""LV_NUMMER"";""TITEL"";""LV_ART"";""LV_GRUPPE"";""ORT"";""LERNEINHEIT"";""UNTERRICHTSEINHEIT"";""EREIGNIS_TYP"";""TERMIN_TYP"";""VORTRAGENDER_KONTAKTPERSON"";""ANMERKUNG"";""INTERNE_BEMERKUNG""",
"MO;""20.04.2026"";""13:00"";""18:00"";""300"";"""";""EdTech Panel Conference"";"""";"""";""605"," Hörsaal (2907.06.605)"";"""";"""";""kein Ereignistyp"";""fix"";""Dr. Na¿a Terzimehi¿"";"""";"""""
"MO;""20.04.2026"";""14:00"";""20:00"";""360"";"""";""AEyeCoL data collection"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"DI;""21.04.2026"";""15:45"";""20:00"";""255"";"""";""AEyeCoL data collection"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"MI;""22.04.2026"";""14:00"";""20:00"";""360"";"""";""AEyeCoL data collection"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"DO;""23.04.2026"";""09:30"";""12:00"";""150"";"""";""EdTech Center Girls' Day"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""fix"";""Dr. Na¿a Terzimehi¿"";"""";"""""
"DO;""23.04.2026"";""10:00"";""12:30"";""150"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""23.04.2026"";""14:00"";""20:00"";""360"";"""";""AEyeCoL data collection"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"FR;""24.04.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""24.04.2026"";""10:00"";""17:00"";""420"";"""";""aeyecol"";"""";"""";""142"," Seminarraum (2907.01.142)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"MO;""27.04.2026"";""10:30"";""17:00"";""390"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
